gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,8,6144,4608,ck,6,2,12.8496,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,35.25,2213.82,0.0
gfx950,256,8,9216,6144,ck,8,3,16.6648,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,54.36,3409.56,0.0
gfx950,256,16,512,6144,ck,8,3,4.9878,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,20.18,653.68,0.0
gfx950,256,16,576,6144,ck,13,3,7.1953,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,15.74,508.06,0.0002
gfx950,256,16,1024,6144,ck,8,3,7.1943,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,27.98,892.72,0.0004
gfx950,256,16,2048,6144,ck,8,3,8.2077,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,49.06,1553.02,0.0001
gfx950,256,16,3584,512,ck,8,0,3.3169,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,17.7,590.28,0.0
gfx950,256,16,4608,6144,ck,8,3,12.368,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,73.25,2308.97,0.0002
gfx950,256,16,6144,256,ck,8,0,2.9374,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,17.13,603.79,0.0
gfx950,256,16,6144,512,ck,8,0,3.9897,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,25.23,839.79,0.0
gfx950,256,16,6144,2304,ck,8,0,8.8995,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,50.9,1616.86,0.0
gfx950,256,16,6144,4096,ck,8,3,9.4184,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,85.5,2699.82,0.0
