M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
2039,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2043,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2047,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2049,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2052,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2053,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2064,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2068,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2069,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2073,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2077,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2079,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2085,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2089,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2090,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2103,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2111,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2113,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2115,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2123,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2128,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2131,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2147,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2149,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2157,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2161,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2165,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2166,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2169,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2181,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2182,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2183,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2189,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2195,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2196,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2201,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2203,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2205,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2206,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2207,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2209,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2210,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2211,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2215,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2218,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2221,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2222,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2226,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2229,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2233,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2234,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2242,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2257,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2274,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2275,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2281,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2290,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2293,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2301,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2329,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2335,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2336,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2337,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2345,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2373,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2376,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2385,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2389,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2393,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2395,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2397,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2401,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2402,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2410,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2422,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2430,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2434,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2447,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2448,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2449,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2451,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2461,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
